Setor,num_Habitantes,AguaADEQUADA,EsgotoADEQUADO,Medidor_Eletric,LixoADEQUADO,Analfa10a14anos,Analfa15ouMais,RespRenda_Ate1Sal,RendaPerCapita,DomRendaMedia,Classe_Econ
370267,187.33943882,100.0,100.0,98.42931937,100.0,0.0,3.13807531,21.46596859,555.46989967,1739.11518325,D
370268,239.69214354,100.0,99.6350365,92.33576642,100.0,0.0,2.46153846,25.18248175,565.19557625,1771.90875912,D
370269,548.00978506,100.0,100.0,78.46153846,100.0,2.56410256,6.68058455,30.25641026,330.86962552,1223.36923077,D
370270,345.13821229,99.35483871,100.0,100.0,100.0,1.2987013,3.5667107000000002,17.74193548,281.29896907,880.19354839,E
370271,285.10982166,100.0,100.0,99.40119759999999,100.0,8.77192982,4.14746544,40.11976048,346.6013986,1187.16167665,E
370272,4.88840804,100.0,100.0,100.0,100.0,,0.0,20.0,777.77777778,1400.0,D
370273,94.35974298,100.0,99.63235294,93.38235294,100.0,1.75438596,3.58056266,26.10294118,502.49080348,1908.35661765,D
370274,194.53773209,100.0,99.54751131,97.73755656,100.0,0.0,1.96779964,23.98190045,603.09831461,1943.01357466,D
370275,262.64149203,100.0,100.0,98.80952381,100.0,0.0,2.40384615,13.69047619,771.13518887,2308.81547619,D
370276,736.6084789,100.0,100.0,93.78238342,100.0,0.0,3.01724138,23.83419689,462.29383117,1475.50777202,D
370277,141.94730031,100.0,100.0,100.0,100.0,0.0,0.0,1.47058824,1867.2096153999998,4759.55392157,C
370278,45.40010763,95.23809524,98.41269841,100.0,100.0,0.0,0.62111801,1.58730159,1498.480663,4305.15873016,C
370279,110.88176804,99.68944099,98.75776398,99.37888199,99.68944099,0.0,0.67658999,4.34782609,1566.993576,4545.25465839,C
370280,177.38840473,99.29577465,94.71830986,92.25352113,100.0,3.44827586,1.7699115,15.14084507,593.81922197,1827.45774648,D
370281,291.59503727,100.0,97.79005525,100.0,100.0,5.0,1.02564103,3.86740331,1134.8514851,3166.29834254,C
370282,212.80850168,100.0,30.20833333,97.91666667,98.95833333,0.0,4.32692308,40.625,380.83892617,1182.1875,E
370283,146.69469866,100.0,100.0,96.36363636,100.0,8.33333333,6.01503759,30.90909091,266.56287425,809.38181818,E
370284,252.88279621,80.57851240000001,66.52892562,4.95867769,99.17355372,6.796116499999999,10.21611002,33.88429752,223.87468983,745.6322313999999,E
370285,263.13843494,100.0,100.0,99.33333333,100.0,0.0,3.32326284,47.33333333,453.10706150000004,1326.09333333,D
370286,313.49816501,99.44751381,100.0,95.02762431,100.0,0.0,3.67965368,25.41436464,409.70230263,1376.23756906,D
370287,269.32116972,100.0,100.0,89.04761905,100.0,0.0,7.98403194,38.09523809,355.67511177,1136.46666667,E
370288,176.11546777,98.98305085,100.0,90.16949152,100.0,2.24719101,2.45901639,29.83050847,410.56553148,1348.60338983,D
370289,133.80321737,100.0,100.0,91.89189189,100.0,4.54545455,3.7037037000000006,14.41441441,665.78470255,2117.31531532,D
370290,159.95788492,100.0,94.91525424,96.61016949,100.0,0.0,2.01793722,20.33898305,608.26164875,1917.57062147,D
370291,306.63996954,100.0,100.0,98.12030075,100.0,7.20720721,6.4171123,57.14285714,182.25167038,615.27067669,E
370292,851.38952147,100.0,100.0,100.0,100.0,0.0,9.55752212,54.21686747,260.25062035,842.41767068,E
370293,98.16791463,100.0,100.0,98.13084112,100.0,0.0,1.11524164,23.36448598,595.6424581,1992.89719626,D
370294,165.11681103,100.0,95.625,90.625,100.0,6.38297872,2.92553191,26.875,463.16798419,1464.76875,D
370295,142.05601105,100.0,100.0,95.07042254,100.0,0.0,2.19435737,23.94366197,564.50620347,1602.08450704,D
370296,166.79857007,100.0,100.0,100.0,100.0,5.55555556,1.10701107,36.44859813,346.56626506,1075.3271028,E
370297,124.95143249,100.0,100.0,100.0,100.0,2.17391304,3.47222222,19.02834008,804.23044097,2288.96356275,D
370298,273.92531901,100.0,95.25316456,99.05063291,100.0,0.0,2.0661157,17.72151899,800.67001115,2272.78797468,D
370299,178.43048251,100.0,100.0,100.0,100.0,0.0,2.13414634,26.71755725,757.4079602,2324.25954198,D
370300,122.98660557,99.21875,62.5,100.0,100.0,0.0,1.71821306,15.625,1060.7119565,3049.546875,C
370301,128.61888992,100.0,100.0,98.80239521,100.0,0.0,1.67464115,19.76047904,676.75572519,2123.47305389,D
370302,290.12650527,100.0,100.0,100.0,100.0,0.0,1.20845921,18.36734694,948.0078329,2469.97959184,D
370303,261.17093434,100.0,100.0,100.0,100.0,0.0,0.98039216,19.73684211,760.87169043,2457.81578947,D
370304,199.19135946,99.45945946,99.45945946,98.37837838,100.0,2.56410256,1.42517815,18.91891892,818.31914894,2286.87027027,D
370305,294.46232544,100.0,99.49748744,86.4321608,100.0,2.08333333,1.20240481,19.09547739,715.13826367,2235.25628141,D
370306,190.07495678,99.46236559,100.0,99.46236559,100.0,2.17391304,3.31125828,24.19354839,639.83065954,1929.81182796,D
370307,183.82170685,100.0,99.31972789,99.31972789,100.0,0.0,1.43678161,24.48979592,602.74715262,1800.04081633,D
370308,499.6983084,100.0,100.0,100.0,100.0,5.55555556,2.85714286,19.87951807,475.78018018,1590.71084337,D
370309,155.76764456,100.0,100.0,100.0,100.0,0.0,3.68421053,36.04651163,570.89754098,1619.75581395,D
370310,207.9975638,100.0,99.58333333,99.58333333,100.0,0.0,1.14942529,27.5,512.4400527,1620.59166667,D
370311,133.64980562,100.0,100.0,95.49549549999999,100.0,4.16666667,1.18577075,24.32432432,545.75304878,1612.67567568,D
370312,162.60586695,99.37106918,98.74213837,100.0,100.0,0.0,0.49382716,16.35220126,814.52272727,2479.42767296,D
370313,186.73104826,100.0,100.0,98.01324503,100.0,0.0,3.74331551,25.82781457,695.48414376,2178.56953642,D
370314,170.83059667,100.0,100.0,98.21428571,100.0,0.0,2.85714286,26.78571429,811.31889764,2453.27380952,D
370315,186.61082219,100.0,100.0,100.0,100.0,3.03030303,3.04709141,16.33986928,844.5194508,2412.12418301,D
370316,183.02969785,100.0,67.29559748,96.22641509,100.0,0.0,2.94117647,22.01257862,701.00621118,2129.47169811,D
370317,104.64501461,100.0,100.0,100.0,100.0,0.0,0.9009009,13.29787234,841.48,2349.87765957,D
370318,227.97265636,100.0,100.0,91.12149533,100.0,0.0,5.36044362,35.98130841,451.97387518,1455.18691589,D
370319,404.31006431,99.36305732,94.26751592,61.14649681,100.0,7.40740741,12.63736264,34.39490446,337.75976563,1101.48407643,E
370320,185.44827253,100.0,100.0,100.0,100.0,2.85714286,1.87165775,31.61290323,550.96963124,1638.69032258,D
370321,197.2548081,98.0,86.0,100.0,100.0,0.0,1.98863636,22.0,656.43577982,1908.04,D
370322,603.08601046,100.0,96.04519774,88.13559322,100.0,1.96078431,8.0,27.11864407,391.40647482,1229.50282486,D
370323,186.7280233,99.28057554,97.48201439,81.65467626,99.28057554,2.08333333,3.4591195,49.28057554,339.84026997,1086.75539568,E
370324,149.64864405,100.0,100.0,97.90575916,100.0,1.63934426,2.01793722,32.46073298,477.7641196000001,1505.83246073,D
370325,180.19769049,87.67123288,13.69863014,35.61643836,69.8630137,6.66666667,8.82352941,30.1369863,247.98418972,859.45205479,E
370326,519.07296824,100.0,100.0,91.42857143,99.28571429,3.44827586,4.0,34.28571429,293.42526316,995.55,E
370327,178.67014984,98.85931559,90.11406844,87.07224335,97.33840304,0.0,3.92464678,33.07984791,554.39135654,1755.92395437,D
370328,126.49081328,98.84615385,99.61538461,97.69230769,100.0,0.0,1.49476831,14.61538462,758.33650416,2452.92692308,D
370329,169.36905159,98.05447471,90.6614786,92.60700389,98.83268483,1.2345678999999998,1.3136288999999999,21.01167315,496.45410037,1578.22178988,D
370330,302.00887376,100.0,98.75,85.0,100.0,0.0,1.52284264,28.75,497.51639344,1517.425,D
370331,148.73768598,100.0,97.74774775,92.79279279,100.0,0.0,2.6929982000000003,15.76576577,567.81337047,1836.44144144,D
370332,186.12143228,100.0,100.0,100.0,100.0,0.0,2.57234727,38.68613139,570.56847545,1611.75182482,D
370333,241.41813963,100.0,98.96907217,100.0,100.0,0.0,1.73076923,10.30927835,967.22937294,3021.34536082,C
370334,221.55694403,100.0,99.17695473,91.35802469,100.0,2.66666667,2.97723292,26.33744856,533.2962963,1659.14403292,D
370335,169.93664455,100.0,100.0,100.0,100.0,0.0,1.74129353,18.78787879,525.68016194,1573.85454545,D
370336,217.94220262,100.0,100.0,99.29078014,100.0,0.0,0.83798883,16.31205674,860.50236967,2575.40425532,D
370337,185.80626361,99.47368421,92.10526316,96.31578947,100.0,0.0,0.88105727,22.63157895,556.71530249,1646.70526316,D
370338,190.44111569999998,100.0,100.0,99.54751131,100.0,1.58730159,3.50194553,23.52941176,550.31441048,1710.70588235,D
370339,192.86448157,100.0,98.8372093,100.0,100.0,0.0,2.43902439,6.97674419,188.9298893,595.34883721,E
370340,123.71439014,100.0,97.16981132,96.22641509,100.0,0.0,1.7921147000000002,14.150943400000001,828.33923304,2649.12264151,D
370341,248.44439604,98.33333333,78.33333333,95.0,100.0,5.0,11.45038168,51.66666667,382.74193548,1186.5,E
370342,368.45914895,99.54337899,98.63013699,79.45205479,100.0,3.37078652,2.85204991,29.6803653,470.52133333,1611.37442922,D
370343,151.91863346,99.13043478,98.26086956,100.0,100.0,0.0,1.03806228,10.43478261,672.5,2035.04347826,D
370344,193.64645986,100.0,100.0,100.0,100.0,0.0,1.02249489,13.52657005,698.24652778,1942.9468599,D
370345,273.94012468,100.0,100.0,100.0,100.0,0.0,0.71090047,26.66666667,575.17689531,1770.26666667,D
370346,329.52306168,100.0,23.65591398,100.0,100.0,0.0,1.99115044,25.80645161,626.87114338,1857.02150538,D
370347,231.77925993,100.0,3.57142857,95.71428571,100.0,0.0,2.63929619,24.28571429,722.625,2147.22857143,D
370348,301.96189912,100.0,100.0,100.0,100.0,4.34782609,1.05263158,28.38709677,556.35416667,1722.90322581,D
370349,220.81790530000004,100.0,100.0,99.43502825,100.0,0.0,2.57009346,24.29378531,589.25730994,1707.84745763,D
370350,240.38562304,100.0,47.09677419,95.48387097,100.0,2.22222222,0.75949367,27.74193548,444.16465863,1427.05806452,D
370351,252.12046913,100.0,100.0,100.0,100.0,0.0,0.88757396,13.38028169,498.50804598,1527.11971831,D
370352,304.06175362,10.83333333,53.75,32.91666667,86.25,4.76190476,5.71428571,38.75,291.19672131,962.1625,E
370359,69.67175457,100.0,88.88888889,100.0,100.0,0.0,0.0,0.0,464.35483871,1599.44444444,D
370360,337.55471371,100.0,100.0,96.89440994,100.0,4.54545455,3.02267003,57.76397515,312.60273973,992.17391304,E
370361,344.42530214,97.87234043,70.21276596,6.38297872,100.0,2.56410256,5.45454545,49.64539007,286.07487923,839.96453901,E
370362,379.29101682,100.0,100.0,94.92753623,100.0,17.94871795,8.30769231,36.95652174,328.47445255,978.2826087000001,E
370363,404.90950443,100.0,100.0,97.5,100.0,5.71428571,1.34680135,26.66666667,431.71032746,1428.24166667,D
370364,282.883124,88.05970149,7.46268657,28.35820895,64.17910448,0.0,8.38709677,40.29850746,238.65044248,805.0,E
370365,85.15967407,21.42857143,9.52380952,30.95238095,23.80952381,0.0,3.52941176,38.09523809,255.90298507,816.45238095,E
370366,247.95310031,100.0,100.0,97.52066116,100.0,0.0,0.96774194,11.57024793,837.85714286,2665.90909091,D
380001,506.06678484,99.76247031,93.82422803,66.27078385,100.0,7.56302521,5.33188248,22.09026128,476.93859649,1420.61995249,D
380002,591.13213304,100.0,99.71830986,61.97183099,100.0,1.92307692,3.00842359,27.6056338,388.49516271,1244.27887324,D
380003,478.18428971,100.0,99.28315412,98.20788531,100.0,3.75,3.26704545,30.82437276,537.34385569,1708.3297491,D
380004,375.31988551,100.0,100.0,98.13432836,100.0,6.25,4.16666667,29.85074627,468.6716763,1512.69029851,D
380005,404.55577859,100.0,98.78048781,87.39837398,100.0,1.78571429,3.94736842,30.08130081,386.77365729,1229.5,D
380006,466.35681401,100.0,100.0,82.33438486,96.84542587,6.89655172,4.43213296,36.59305994,411.78043704,1248.33123028,D
380007,322.93795971,97.72727273,93.46590909,91.76136364,99.43181818,5.78512397,3.7470726,34.65909091,420.77645051,1400.99431818,D
380008,426.07787061,96.22641509,95.91194969,88.05031446,100.0,0.0,5.16304348,54.08805031,323.71472393,995.5754717,E
380009,427.77740578,99.67532467,98.70129870000001,98.37662338,100.0,2.91262136,5.44692737,40.25974026,387.84125379,1245.37337662,D
380010,416.31678552,100.0,99.35897436,94.23076923,100.0,3.40909091,4.06732118,48.71794872,379.49947971,1168.90705128,E
380011,476.14084859,100.0,99.16666667,85.41666667,100.0,1.2345678999999998,6.28366248,38.75,439.6875,1377.6875,D
380012,485.2420513,99.32203390000001,97.9661017,87.45762712,100.0,8.0,6.43712575,31.86440678,403.92557652,1306.25423729,D
380013,504.52696695,100.0,99.21568627,95.29411765,100.0,4.76190476,5.92948718,41.96078431,365.34143519,1237.8627451,D
380014,550.40393329,100.0,100.0,93.57798165,98.16513762,4.90196078,4.6728972,57.79816514,305.94186047,1086.23394495,E
380015,470.34255377,100.0,100.0,91.30434783,99.66555184,8.0,4.12517781,32.10702341,455.66596639,1450.81605351,D
380016,119.61878317,100.0,100.0,98.19819820000001,100.0,0.0,1.72711572,19.36936937,769.14387464,2432.15765766,D
380017,178.86608818,100.0,100.0,96.74418605,100.0,0.0,4.46808511,23.25581395,643.31447587,1798.28837209,D
380018,481.82688872,100.0,100.0,90.29126214,100.0,2.91262136,4.33017591,32.68608414,423.07049345,1359.57605178,D
380019,359.26070736,99.59839357,99.59839357,85.9437751,100.0,0.0,5.93900482,23.69477912,382.42705882,1305.47389558,D
380020,322.5774091,100.0,100.0,95.83333333,99.67948718,0.0,5.22875817,35.25641026,527.87703252,1664.84294872,D
380021,699.12897069,98.27586207,90.51724138,8.62068966,97.41379309999999,7.01754386,6.0,38.79310345,215.25458716,809.06034483,E
380032,373.45375534,99.64285714,98.92857143,97.85714286,100.0,6.4516129,4.64441219,36.07142857,408.05639913,1343.67142857,D
380033,486.78058464,99.56896552,99.13793103,92.67241379,99.56896552,3.40909091,4.81283422,27.586206899999997,441.90012970000004,1468.55603448,D
380034,436.93196379,100.0,100.0,90.15957447,100.0,0.95238095,3.8585209000000003,23.67021277,470.04362139999995,1518.89095745,D
380035,1032.96023123,99.48717949,100.0,100.0,99.48717949,0.0,2.8340081,28.20512821,411.56990881,1388.78461538,D
380036,981.66562024,99.6742671,95.43973941,92.50814332,100.0,5.94059406,5.02645503,28.01302932,474.58210423,1572.14983713,D
380037,402.25144807,100.0,99.65986395,90.13605442,100.0,0.0,2.3154847999999997,13.94557823,549.76121076,1667.9829932,D
380038,441.38617537,100.0,98.57954546,88.92045454,99.43181818,0.0,2.81879195,17.04545454,544.92033543,1476.85795455,D
380039,753.99430411,99.41860465,100.0,5.23255814,91.86046512,3.17460317,7.10784314,36.62790698,320.51618399,1093.85465116,E
380040,117.58058933,100.0,100.0,44.82758621,100.0,8.33333333,2.89855072,31.03448276,344.39,1187.55172414,E
380041,950.17356755,100.0,100.0,100.0,100.0,8.06451613,3.4416826,23.45132743,562.96893491,1683.92477876,D
380042,1405.16224686,100.0,98.88059702,96.26865672,100.0,1.2987013,4.28336079,26.49253731,520.56976744,1503.43656716,D
380043,563.55943979,100.0,100.0,99.62406015,100.0,1.75438596,4.33386838,40.97744361,495.01017812,1462.69924812,D
380044,742.84323559,100.0,100.0,95.0,100.0,0.0,7.92079208,20.0,499.05755396,1734.225,D
380045,2935.88515519,100.0,100.0,83.60655738,100.0,2.77777778,11.37931035,31.96721311,320.24465558,1105.10655738,E
390001,153.32689977,99.45054945,100.0,96.70329670000001,99.45054945,0.0,1.86480186,32.41758242,569.48094374,1724.08791209,D
390002,111.56535876,100.0,94.8051948,99.35064935,100.0,0.0,0.27700831,17.53246753,854.34457831,2302.29220779,D
390011,173.27145154,100.0,100.0,99.3902439,100.0,2.5,1.38568129,17.68292683,702.55471698,2270.45121951,D
390012,148.47404397,100.0,100.0,99.40119759999999,100.0,2.08333333,1.16550117,5.38922156,447.02550091,1469.56287425,D
390013,204.02446866,100.0,100.0,100.0,100.0,0.0,0.44444444,10.0,622.41635688,1762.42105263,D
390014,123.48293892,100.0,94.69026549,90.26548673,99.11504425,0.0,3.05343511,26.54867257,507.32822086,1463.61946903,D
390015,294.1311469,100.0,31.29770992,75.57251908,79.38931298,1.44927536,17.1875,35.8778626,187.0739645,965.35877863,E
390016,242.83281057,100.0,100.0,96.07843137,100.0,1.75438596,2.4291498,28.43137255,515.05182927,1656.24509804,D
390017,157.70688482,99.52830189,100.0,100.0,100.0,2.22222222,1.19284294,21.22641509,682.88691438,1993.9009434,D
390018,506.91165997,100.0,100.0,90.90909091,100.0,0.0,3.92749245,37.19008264,409.15898618,1467.56198347,D
390019,116.09575600000001,98.63636364,100.0,100.0,100.0,0.0,2.79441118,24.09090909,621.54015748,1793.99090909,D
390020,753.56275718,98.7654321,100.0,98.7654321,100.0,0.0,3.74193548,29.32098765,571.88636364,1708.59876543,D
390021,790.90341222,98.75518672,99.17012448,98.75518672,100.0,0.0,2.66222962,24.481327800000003,509.87688442,1684.0746888,D
390022,814.30362286,100.0,100.0,100.0,100.0,2.22222222,3.00230947,75.8974359,356.44283122,1007.17948718,E
390023,1071.02975945,100.0,96.10389609999999,99.13419913,100.0,0.0,4.39367311,34.1991342,463.20731707,1479.85714286,D
390024,807.59405627,100.0,100.0,98.58156028,100.0,1.35135135,4.81203008,47.87234043,420.42586002,1256.80496454,D
390025,586.32367988,100.0,100.0,98.90710382,99.45355191,0.0,4.21836228,33.87978142,461.8467433,1317.3989070999999,D
390026,453.7236483,98.21428571,100.0,96.42857143,100.0,0.0,1.13636364,68.75,404.5393586,1238.90178571,D
390027,252.38993085,100.0,100.0,100.0,100.0,0.0,0.64620355,16.72597865,737.19132653,2056.79003559,D
390028,598.91467484,100.0,100.0,71.42857143,94.64285714,2.63157895,6.4516129,59.52380952,244.53549383,943.20833333,E
390029,227.92487745,100.0,99.52606635,95.73459716,100.0,1.26582278,1.50943396,14.69194313,595.9671151,1889.58293839,D
390030,250.69186618,100.0,99.68847352,99.06542056,100.0,1.2195122,2.84301607,25.54517134,475.2446183999999,1513.08411215,D
390031,350.93780634,100.0,100.0,95.45454546,100.0,3.44827586,3.23741007,36.36363636,242.12121212,1210.60606061,D
390032,147.57235214,99.63636364,99.27272727,100.0,100.0,0.0,0.89552239,15.27272727,959.84155844,2687.55636364,D
390033,315.55887256,100.0,100.0,100.0,100.0,0.0,0.28776978,10.26490066,868.0391924,2420.16225166,D
390034,1567.01494925,100.0,67.17557252,92.36641221,100.0,0.0,2.66666667,38.16793893,232.71531532,985.93129771,E
390035,191.48478614,100.0,100.0,99.23954373,100.0,7.27272727,1.52905199,29.65779468,519.10473815,1582.97338403,D
390036,164.83200483,100.0,100.0,100.0,100.0,0.0,3.07941653,20.55335968,682.30393487,1987.58102767,D
390037,174.28970835,99.57446809,99.14893617,94.89361702,100.0,0.0,3.19148936,23.40425532,565.31104651,1655.03829787,D
390038,179.37287125,100.0,100.0,98.75,100.0,0.0,2.18579235,38.75,584.53947368,1665.9375,D
390039,360.96083458,100.0,100.0,99.53703704,100.0,0.0,1.37299771,23.61111111,914.19615385,2200.84259259,D
390040,1038.73342388,100.0,100.0,98.81656805,100.0,9.09090909,1.54241645,31.95266272,447.86773547,1322.40236686,D
390041,852.53858084,100.0,100.0,99.36102236,100.0,0.0,2.91262136,32.90734824,532.47212742,1495.34504792,D
390042,847.58833376,99.58847737,99.58847737,99.58847737,99.58847737,0.0,2.77777778,34.156378600000004,559.67147436,1437.18106996,D
390043,538.73024236,100.0,100.0,69.77491961,100.0,2.20588235,5.14603616,66.23794212,239.91107078,850.10289389,E
390044,181.78054493,91.79104478,99.62686567,97.38805970000001,100.0,2.98507463,2.91545189,29.85074627,567.48635824,1785.04104478,D
390045,17.19327563,100.0,100.0,95.34883721,100.0,0.0,2.36220472,16.27906977,654.63461538,2374.95348837,D
390046,616.50108381,99.2248062,99.2248062,98.4496124,100.0,19.04761905,9.375,22.48062016,382.40042373,1399.17054264,D
390047,193.55540757,100.0,100.0,99.37106918,100.0,2.12765957,1.30548303,21.3836478,657.27327935,2042.09433962,D
390048,140.74446509999999,100.0,100.0,98.46153846,100.0,6.66666667,0.66225166,26.92307692,701.45027624,1953.26923077,D
390049,141.43511056,99.42528736,100.0,100.0,100.0,0.0,0.74812968,17.81609195,869.50721649,2423.62643678,D
390050,134.81748974,100.0,100.0,99.28571429,100.0,5.88235294,1.43678161,5.0,466.83219955,1470.52142857,D
390051,385.60924365,100.0,100.0,99.61685824,100.0,0.0,0.87260035,14.17624521,892.24517088,2300.69348659,D
390052,512.35632541,100.0,100.0,100.0,100.0,1.4084507,3.17679558,15.6626506,339.41498881,913.96686747,E
390053,839.74439073,100.0,100.0,100.0,100.0,2.94117647,4.871447900000001,33.77483444,534.72787611,1600.64238411,D
390054,47.83584919,100.0,100.0,99.37759336,100.0,0.0,1.59857904,33.81742739,525.29057971,1503.9439834,D
390055,0.0,,,,,,7.69230769,,,,
390056,264.71563775,100.0,95.74468085,99.57446809,100.0,0.0,0.76628352,15.31914894,1002.1960784,2609.97446809,D
